Dex	Name	Nom	Form	Type1	Type2	Total	HP	Attack	Defense	SpAtk	SpDef	Speed	Gen	Ether	Psycox	IconUrl	PokeApiIdentifier	Abilities	HiddenAbility	IsFullyEvolved	Category	SmogonTier
15	Beedrill	Dardargnan		Bug	Poison	395	65	90	40	45	80	75	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0015.png	beedrill	swarm	sniper	true	Normal	Illegal
16	Pidgey	Roucool		Normal	Flying	251	40	45	40	35	35	56	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0016.png	pidgey	keen-eye,tangled-feet	big-pecks	false	Normal	Illegal
17	Pidgeotto	Roucoups		Normal	Flying	349	63	60	55	50	50	71	1	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0017.png	pidgeotto	keen-eye,tangled-feet	big-pecks	false	Normal	Illegal
18	Pidgeot	Roucarnage		Normal	Flying	479	83	80	75	70	70	101	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0018.png	pidgeot	keen-eye,tangled-feet	big-pecks	true	Normal	Illegal
19	Rattata	Rattata		Normal		253	30	56	35	25	35	72	1	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0019.png	rattata	run-away,guts	hustle	false	Normal	Illegal
19	Rattata	Rattata	Alolan Rattata	Dark	Normal	253	30	56	35	25	35	72	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0019_01.png	rattata-alola	gluttony,hustle	thick-fat	false	Normal	Illegal
20	Raticate	Rattatac		Normal		413	55	81	60	50	70	97	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0020.png	raticate	run-away,guts	hustle	true	Normal	Illegal
20	Raticate	Rattatac	Alolan Raticate	Dark	Normal	413	75	71	70	40	80	77	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0020_01.png	raticate-alola	gluttony,hustle	thick-fat	true	Normal	Illegal
21	Spearow	Piafabec		Normal	Flying	262	40	60	30	31	31	70	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0021.png	spearow	keen-eye	sniper	false	Normal	Illegal
22	Fearow	Rapasdepic		Normal	Flying	442	65	90	65	61	61	100	1	2	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0022.png	fearow	keen-eye	sniper	true	Normal	Illegal
23	Ekans	Abo		Poison		288	35	60	44	40	54	55	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0023.png	ekans	intimidate,shed-skin	unnerve	false	Normal	LC
24	Arbok	Arbok		Poison		448	60	95	69	65	79	80	1	5	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0024.png	arbok	intimidate,shed-skin	unnerve	true	Normal	ZU
25	Pikachu	Pikachu		Electric		320	35	55	40	50	50	90	1	9	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0025.png	pikachu	static	lightning-rod	false	Normal	ZU
26	Raichu	Raichu		Electric		485	60	90	55	90	80	110	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0026.png	raichu	static	lightning-rod	true	Normal	ZU
26	Raichu	Raichu	Alolan Raichu	Electric	Psychic	485	60	85	50	95	85	110	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0026_01.png	raichu-alola	surge-surfer		true	Normal	ZU
27	Sandshrew	Sabelette		Ground		300	50	75	85	20	30	40	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0027.png	sandshrew	sand-veil	sand-rush	false	Normal	LC
27	Sandshrew	Sabelette	Alolan Sandshrew	Ice	Steel	300	50	75	90	10	35	40	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0027_01.png	sandshrew-alola	snow-cloak	slush-rush	false	Normal	LC
28	Sandslash	Sablaireau		Ground		450	75	100	110	45	55	65	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0028.png	sandslash	sand-veil	sand-rush	true	Normal	ZU
28	Sandslash	Sablaireau	Alolan Sandslash	Ice	Steel	450	75	100	120	25	65	65	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0028_01.png	sandslash-alola	snow-cloak	slush-rush	true	Normal	PU
29	Nidoran	Nidoran♀	Female	Poison		275	55	47	52	40	40	41	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0029.png	nidoran-f	poison-point,rivalry	hustle	false	Normal	Illegal
30	Nidorina	Nidorina		Poison		365	70	62	67	55	55	56	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0030.png	nidorina	poison-point,rivalry	hustle	false	Normal	Illegal
31	Nidoqueen	Nidoqueen		Poison	Ground	505	90	92	87	75	85	76	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0031.png	nidoqueen	poison-point,rivalry	sheer-force	true	Normal	Illegal
32	Nidoran	Nidoran♂	Male	Poison		273	46	57	40	40	40	50	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0032.png	nidoran-m	poison-point,rivalry	hustle	false	Normal	Illegal
33	Nidorino	Nidorino		Poison		365	61	72	57	55	55	65	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0033.png	nidorino	poison-point,rivalry	hustle	false	Normal	Illegal
34	Nidoking	Nidoking		Poison	Ground	505	81	102	77	85	75	85	1	8	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0034.png	nidoking	poison-point,rivalry	sheer-force	true	Normal	Illegal
35	Clefairy	Mélofée		Fairy		323	70	45	48	60	65	35	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0035.png	clefairy	cute-charm,magic-guard	friend-guard	false	Normal	NFE
36	Clefable	Mélodelfe		Fairy		483	95	70	73	95	90	60	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0036.png	clefable	cute-charm,magic-guard	unaware	true	Normal	OU
37	Vulpix	Goupix		Fire		299	38	41	40	50	65	65	1	8	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0037.png	vulpix	flash-fire	drought	false	Normal	NFE
37	Vulpix	Goupix	Alolan Vulpix	Ice		299	38	41	40	50	65	65	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0037_01.png	vulpix-alola	snow-cloak	snow-warning	false	Normal	NFE
38	Ninetales	Feunard		Fire		505	73	76	75	81	100	100	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0038.png	ninetales	flash-fire	drought	true	Normal	ZU
38	Ninetales	Feunard	Alolan Ninetales	Ice	Fairy	505	73	67	75	81	100	109	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0038_01.png	ninetales-alola	snow-cloak	snow-warning	true	Normal	NU
39	Jigglypuff	Rondoudou		Normal	Fairy	270	115	45	20	45	25	20	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0039.png	jigglypuff	cute-charm,competitive	friend-guard	false	Normal	NFE
40	Wigglytuff	Grodoudou		Normal	Fairy	435	140	70	45	85	50	45	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0040.png	wigglytuff	cute-charm,competitive	frisk	true	Normal	ZU
41	Zubat	Nosferapti		Poison	Flying	245	40	45	35	30	40	55	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0041.png	zubat	inner-focus	infiltrator	false	Normal	Illegal
42	Golbat	Nosferalto		Poison	Flying	455	75	80	70	65	75	90	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0042.png	golbat	inner-focus	infiltrator	false	Normal	Illegal
43	Oddish	Mystherbe		Grass	Poison	320	45	50	55	75	65	30	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0043.png	oddish	chlorophyll	run-away	false	Normal	LC
44	Gloom	Ortide		Grass	Poison	395	60	65	70	85	75	40	1	6	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0044.png	gloom	chlorophyll	stench	false	Normal	NFE
45	Vileplume	Rafflésia		Grass	Poison	490	75	80	85	110	90	50	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0045.png	vileplume	chlorophyll	effect-spore	true	Normal	NU
46	Paras	Paras		Bug	Grass	285	35	70	55	45	55	25	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0046.png	paras	effect-spore,dry-skin	damp	false	Normal	Illegal
47	Parasect	Parasect		Bug	Grass	405	60	95	80	60	80	30	1	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0047.png	parasect	effect-spore,dry-skin	damp	true	Normal	Illegal
48	Venonat	Mimitoss		Bug	Poison	305	60	55	50	40	55	45	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0048.png	venonat	compound-eyes,tinted-lens	run-away	false	Normal	LC
49	Venomoth	Aéromite		Bug	Poison	450	70	65	60	90	75	90	1	6	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0049.png	venomoth	shield-dust,tinted-lens	wonder-skin	true	Normal	ZUBL
50	Diglett	Taupiqueur		Ground		265	10	55	25	35	45	95	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0050.png	diglett	sand-veil,arena-trap	sand-force	false	Normal	NFE
50	Diglett	Taupiqueur	Alolan Diglett	Ground	Steel	265	10	55	30	35	45	90	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0050_01.png	diglett-alola	sand-veil,tangling-hair	sand-force	false	Normal	LC
51	Dugtrio	Triopikeur		Ground		425	35	100	50	50	70	120	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0051.png	dugtrio	sand-veil,arena-trap	sand-force	true	Normal	ZU
51	Dugtrio	Triopikeur	Alolan Dugtrio	Ground	Steel	425	35	100	60	50	70	110	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0051_01.png	dugtrio-alola	sand-veil,tangling-hair	sand-force	true	Normal	ZU
52	Meowth	Miaouss		Normal		290	40	45	35	40	40	90	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0052.png	meowth	pickup,technician	unnerve	false	Normal	LC
52	Meowth	Miaouss	Alolan Meowth	Dark		290	40	35	35	50	40	90	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0052_01.png	meowth-alola	pickup,technician	rattled	false	Normal	LC
52	Meowth	Miaouss	Galarian Meowth	Steel		290	50	65	55	40	40	40	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0052_02.png	meowth-galar	pickup,tough-claws	unnerve	false	Normal	LC
53	Persian	Persian		Normal		440	65	70	60	65	65	115	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0053.png	persian	limber,technician	unnerve	true	Normal	ZU
53	Persian	Persian	Alolan Persian	Dark		440	65	60	60	75	65	115	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0053_01.png	persian-alola	fur-coat,technician	rattled	true	Normal	ZU
54	Psyduck	Psykokwak		Water		320	50	52	48	65	50	55	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0054.png	psyduck	damp,cloud-nine	swift-swim	false	Normal	LC
55	Golduck	Akwakwak		Water		500	80	82	78	95	80	85	1	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0055.png	golduck	damp,cloud-nine	swift-swim	true	Normal	ZU
56	Mankey	Férosinge		Fighting		305	40	80	35	35	45	70	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0056.png	mankey	vital-spirit,anger-point	defiant	false	Normal	LC
57	Primeape	Colossinge		Fighting		455	65	105	60	60	70	95	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0057.png	primeape	vital-spirit,anger-point	defiant	false	Normal	ZU
58	Growlithe	Caninos		Fire		350	55	70	45	70	50	60	1	9	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0058.png	growlithe	intimidate,flash-fire	justified	false	Normal	LC
58	Growlithe	Caninos	Hisuian Growlithe	Fire	Rock	350	60	75	45	65	50	55	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0058_01.png	growlithe-hisui	intimidate,flash-fire	rock-head	false	Normal	LC
59	Arcanine	Arcanin		Fire		555	90	110	80	100	80	95	1	10	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0059.png	arcanine	intimidate,flash-fire	justified	true	Normal	PU
59	Arcanine	Arcanin	Hisuian Arcanine	Fire	Rock	555	95	115	80	95	80	90	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0059_01.png	arcanine-hisui	intimidate,flash-fire	rock-head	true	Normal	UU
60	Poliwag	Ptitard		Water		300	40	50	40	40	40	90	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0060.png	poliwag	water-absorb,damp	swift-swim	false	Normal	LC
61	Poliwhirl	Têtarte		Water		385	65	65	65	50	50	90	1	7	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0061.png	poliwhirl	water-absorb,damp	swift-swim	false	Normal	NFE
62	Poliwrath	Tartard		Water	Fighting	510	90	95	95	70	90	70	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0062.png	poliwrath	water-absorb,damp	swift-swim	true	Normal	ZU
63	Abra	Abra		Psychic		310	25	20	15	105	55	90	1	9	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0063.png	abra	synchronize,inner-focus	magic-guard	false	Normal	Illegal
64	Kadabra	Kadabra		Psychic		400	40	35	30	120	70	105	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0064.png	kadabra	synchronize,inner-focus	magic-guard	false	Normal	Illegal
65	Alakazam	Alakazam		Psychic		500	55	50	45	135	95	120	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0065.png	alakazam	synchronize,inner-focus	magic-guard	true	Normal	Illegal
66	Machop	Machoc		Fighting		305	70	80	50	35	35	35	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0066.png	machop	guts,no-guard	steadfast	false	Normal	Illegal
67	Machoke	Machopeur		Fighting		405	80	100	70	50	60	45	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0067.png	machoke	guts,no-guard	steadfast	false	Normal	Illegal
68	Machamp	Mackogneur		Fighting		505	90	130	80	65	85	55	1	7	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0068.png	machamp	guts,no-guard	steadfast	true	Normal	Illegal
69	Bellsprout	Chétiflor		Grass	Poison	300	50	75	35	70	30	40	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0069.png	bellsprout	chlorophyll	gluttony	false	Normal	LC
70	Weepinbell	Boustiflor		Grass	Poison	390	65	90	50	85	45	55	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0070.png	weepinbell	chlorophyll	gluttony	false	Normal	NFE
71	Victreebel	Empiflor		Grass	Poison	490	80	105	65	100	70	70	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0071.png	victreebel	chlorophyll	gluttony	true	Normal	ZU
72	Tentacool	Tentacool		Water	Poison	335	40	40	35	50	100	70	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0072.png	tentacool	clear-body,liquid-ooze	rain-dish	false	Normal	LC
73	Tentacruel	Tentacruel		Water	Poison	515	80	70	65	80	120	100	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0073.png	tentacruel	clear-body,liquid-ooze	rain-dish	true	Normal	NU
74	Geodude	Racaillou		Rock	Ground	300	40	80	100	30	30	20	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0074.png	geodude	rock-head,sturdy	sand-veil	false	Normal	LC
74	Geodude	Racaillou	Alolan Geodude	Rock	Electric	300	40	80	100	30	30	20	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0074_01.png	geodude-alola	magnet-pull,sturdy	galvanize	false	Normal	LC
75	Graveler	Gravalanch		Rock	Ground	390	55	95	115	45	45	35	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0075.png	graveler	rock-head,sturdy	sand-veil	false	Normal	NFE
75	Graveler	Gravalanch	Alolan Graveler	Rock	Electric	390	55	95	115	45	45	35	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0075_01.png	graveler-alola	magnet-pull,sturdy	galvanize	false	Normal	NFE
76	Golem	Grolem		Rock	Ground	495	80	120	130	55	65	45	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0076.png	golem	rock-head,sturdy	sand-veil	true	Normal	ZU
76	Golem	Grolem	Alolan Golem	Rock	Electric	495	80	120	130	55	65	45	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0076_01.png	golem-alola	magnet-pull,sturdy	galvanize	true	Normal	ZU
77	Ponyta	Ponyta		Fire		410	50	85	55	65	65	90	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0077.png	ponyta	run-away,flash-fire	flame-body	false	Normal	Illegal
77	Ponyta	Ponyta	Galarian Ponyta	Psychic		410	50	85	55	65	65	90	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0077_01.png	ponyta-galar	run-away,pastel-veil	anticipation	false	Normal	Illegal
78	Rapidash	Galopa		Fire		500	65	100	70	80	80	105	1	3	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0078.png	rapidash	run-away,flash-fire	flame-body	true	Normal	Illegal
78	Rapidash	Galopa	Galarian Rapidash	Psychic	Fairy	500	65	100	70	80	80	105	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0078_01.png	rapidash-galar	run-away,pastel-veil	anticipation	true	Normal	Illegal
79	Slowpoke	Ramoloss		Water	Psychic	315	90	65	65	40	40	15	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0079.png	slowpoke	oblivious,own-tempo	regenerator	false	Normal	LC
79	Slowpoke	Ramoloss	Galarian Slowpoke	Psychic		315	90	65	65	40	40	15	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0079_01.png	slowpoke-galar	gluttony,own-tempo	regenerator	false	Normal	LC
80	Slowbro	Flagadoss		Water	Psychic	490	95	75	110	100	80	30	1	8	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0080.png	slowbro	oblivious,own-tempo	regenerator	true	Normal	RU
80	Slowbro	Flagadoss	Galarian Slowbro	Poison	Psychic	490	95	100	95	100	70	30	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0080_02.png	slowbro-galar	quick-draw,own-tempo	regenerator	true	Normal	PU
81	Magnemite	Magnéti		Electric	Steel	325	25	35	70	95	55	45	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0081.png	magnemite	magnet-pull,sturdy	analytic	false	Normal	LC
82	Magneton	Magnéton		Electric	Steel	465	50	60	95	120	70	70	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0082.png	magneton	magnet-pull,sturdy	analytic	false	Normal	ZU
83	Farfetch'd	Canarticho		Normal	Flying	377	52	90	55	58	62	60	1	3	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0083.png	farfetchd	keen-eye,inner-focus	defiant	false	Normal	Illegal
83	Farfetch'd	Canarticho	Galarian Farfetch'd	Fighting		377	52	95	55	58	62	55	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0083_01.png	farfetchd-galar	steadfast	scrappy	false	Normal	Illegal
84	Doduo	Doduo		Normal	Flying	310	35	85	45	35	35	75	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0084.png	doduo	run-away,early-bird	tangled-feet	false	Normal	LC
85	Dodrio	Dodrio		Normal	Flying	470	60	110	70	60	60	110	1	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0085.png	dodrio	run-away,early-bird	tangled-feet	true	Normal	ZU
86	Seel	Otaria		Water		325	65	45	55	45	70	45	1	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0086.png	seel	thick-fat,hydration	ice-body	false	Normal	LC
87	Dewgong	Lamantine		Water	Ice	475	90	70	80	70	95	70	1	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0087.png	dewgong	thick-fat,hydration	ice-body	true	Normal	ZU
88	Grimer	Tadmorv		Poison		325	80	80	50	40	50	25	1	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0088.png	grimer	stench,sticky-hold	poison-touch	false	Normal	LC
88	Grimer	Tadmorv	Alolan Grimer	Poison	Dark	325	80	80	50	40	50	25	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0088_01.png	grimer-alola	poison-touch,gluttony	power-of-alchemy	false	Normal	LC
89	Muk	Grotadmorv		Poison		500	105	105	75	65	100	50	1	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0089.png	muk	stench,sticky-hold	poison-touch	true	Normal	ZU
89	Muk	Grotadmorv	Alolan Muk	Poison	Dark	500	105	105	75	65	100	50	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0089_01.png	muk-alola	poison-touch,gluttony	power-of-alchemy	true	Normal	RU
90	Shellder	Kokiyas		Water		305	30	65	100	45	25	40	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0090.png	shellder	shell-armor,skill-link	overcoat	false	Normal	LC
91	Cloyster	Crustabri		Water	Ice	525	50	95	180	85	45	70	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0091.png	cloyster	shell-armor,skill-link	overcoat	true	Normal	NUBL
92	Gastly	Fantominus		Ghost	Poison	310	30	35	30	100	35	80	1	9	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0092.png	gastly	levitate		false	Normal	NFE
93	Haunter	Spectrum		Ghost	Poison	405	45	50	45	115	55	95	1	9	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0093.png	haunter	levitate		false	Normal	NFE
94	Gengar	Ectoplasma		Ghost	Poison	500	60	65	60	130	75	110	1	10	10	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0094.png	gengar	cursed-body		true	Normal	RU
95	Onix	Onix		Rock	Ground	385	35	45	160	30	45	70	1	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0095.png	onix	rock-head,sturdy	weak-armor	false	Normal	Illegal
96	Drowzee	Soporifik		Psychic		328	60	48	45	43	90	42	1	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0096.png	drowzee	insomnia,forewarn	inner-focus	false	Normal	LC
97	Hypno	Hypnomade		Psychic		483	85	73	70	73	115	67	1	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0097.png	hypno	insomnia,forewarn	inner-focus	true	Normal	ZU
98	Krabby	Krabby		Water		325	30	105	90	25	25	50	1	8	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0098.png	krabby	hyper-cutter,shell-armor	sheer-force	false	Normal	Illegal
99	Kingler	Krabboss		Water		475	55	130	115	50	50	75	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0099.png	kingler	hyper-cutter,shell-armor	sheer-force	true	Normal	Illegal
100	Voltorb	Voltorbe		Electric		330	40	30	50	55	55	100	1	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0100.png	voltorb	soundproof,static	aftermath	false	Normal	LC
100	Voltorb	Voltorbe	Hisuian Voltorb	Electric	Grass	330	40	30	50	55	55	100	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0100_01.png	voltorb-hisui	soundproof,static	aftermath	false	Normal	NFE
101	Electrode	Électrode		Electric		490	60	50	70	80	80	150	1	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0101.png	electrode	soundproof,static	aftermath	true	Normal	ZU
101	Electrode	Électrode	Hisuian Electrode	Electric	Grass	490	60	50	70	80	80	150	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0101_01.png	electrode-hisui	soundproof,static	aftermath	true	Normal	ZUBL
102	Exeggcute	Nœunœuf		Grass	Psychic	325	60	40	80	60	45	40	1	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0102.png	exeggcute	chlorophyll	harvest	false	Normal	LC
103	Exeggutor	Noadkoko		Grass	Psychic	530	95	95	85	125	75	55	1	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0103.png	exeggutor	chlorophyll	harvest	true	Normal	ZU
103	Exeggutor	Noadkoko	Alolan Exeggutor	Grass	Dragon	530	95	105	85	125	75	45	7			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0103_01.png	exeggutor-alola	frisk	harvest	true	Normal	ZU
104	Cubone	Osselait		Ground		320	50	50	95	40	50	35	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0104.png	cubone	rock-head,lightning-rod	battle-armor	false	Normal	Illegal
105	Marowak	Ossatueur		Ground		425	60	80	110	50	80	45	1	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0105.png	marowak	rock-head,lightning-rod	battle-armor	true	Normal	Illegal
